scope,category,enum_type,member_name,display_name,is_vip,effect_id,resource_id,default_duration_ms
动态视觉效果,视频转场,TransitionType,拉伸,拉伸,False,13402655,7231391397717217851,1200.0
动态视觉效果,视频转场,TransitionType,拉伸_II,拉伸 II,False,19137130,7259735372039459389,600.0
动态视觉效果,视频转场,TransitionType,拉远,拉远,False,359365,6724226338418332167,1000.0
动态视觉效果,视频转场,TransitionType,拍摄器,拍摄器,False,2057168,7100849808784495135,500.0
动态视觉效果,视频转场,TransitionType,推近,推近,False,359359,6724226861666144779,1000.0
动态视觉效果,视频转场,TransitionType,撕纸拉屏,撕纸拉屏,False,17934952,7254847807465460280,700.0
动态视觉效果,视频转场,TransitionType,放射,放射,False,4212630,6724239584663704071,1000.0
动态视觉效果,视频转场,TransitionType,故障,故障,False,2918080,6725771847444468236,1000.0
动态视觉效果,视频转场,TransitionType,故障拼贴,故障拼贴,False,77055395,7397337004507140618,1000.0
动态视觉效果,视频转场,TransitionType,斜向分割,斜向分割,False,4211687,7085250093527339557,500.0
动态视觉效果,视频转场,TransitionType,星星,星星,False,2916678,6751564373317128708,500.0
动态视觉效果,视频转场,TransitionType,星星_II,星星 II,False,2916679,6789847494898487822,500.0
动态视觉效果,视频转场,TransitionType,模糊,模糊,False,4212596,6911569618171597320,500.0
动态视觉效果,视频转场,TransitionType,横向分割,横向分割,False,4211685,7083771238564237861,500.0
动态视觉效果,视频转场,TransitionType,横向拉幕,横向拉幕,False,2917278,6724492948144132621,1000.0
动态视觉效果,视频转场,TransitionType,横向模糊,横向模糊,False,97482744,7450031573958660645,500.0
动态视觉效果,视频转场,TransitionType,横线,横线,False,2918076,6724845810892149251,500.0
动态视觉效果,视频转场,TransitionType,气泡转场,气泡转场,False,1433968,7028880945671311903,4000.0
动态视觉效果,视频转场,TransitionType,水波卷动,水波卷动,False,878910,6858191497280360973,500.0
动态视觉效果,视频转场,TransitionType,水波向右,水波向右,False,878909,6858191510865711629,500.0
动态视觉效果,视频转场,TransitionType,水波向左,水波向左,False,878908,6858191524312650248,500.0
动态视觉效果,视频转场,TransitionType,泛光,泛光,False,4202527,6914112263645303303,1000.0
动态视觉效果,视频转场,TransitionType,泛白,泛白,False,4202528,6949828109663212045,1000.0
动态视觉效果,视频转场,TransitionType,波点向右,波点向右,False,878907,6858191541706428941,500.0
动态视觉效果,视频转场,TransitionType,渐变擦除,渐变擦除,False,1017911,6919369138800431629,1000.0
动态视觉效果,视频转场,TransitionType,滑动,滑动,False,4212349,6757982416649851399,1000.0
动态视觉效果,视频转场,TransitionType,漩涡,漩涡,False,4211780,6851810799510360583,1000.0
动态视觉效果,视频转场,TransitionType,烟雾转场,烟雾转场,False,97482746,7450031574923350555,1500.0
动态视觉效果,视频转场,TransitionType,爱心,爱心,False,2916677,6748289440130535947,500.0
动态视觉效果,视频转场,TransitionType,爱心_II,爱心 II,False,2916682,6789846472343949837,500.0
动态视觉效果,视频转场,TransitionType,爱心上升,爱心上升,False,2916681,6789846246069637640,500.0
动态视觉效果,视频转场,TransitionType,电视故障_I,电视故障 I,False,2918081,7046293801123451405,1600.0
动态视觉效果,视频转场,TransitionType,电视故障_II,电视故障 II,False,2918082,7042278078415901192,1600.0
动态视觉效果,视频转场,TransitionType,画笔擦除,画笔擦除,False,2912467,6789846828788486664,500.0
动态视觉效果,视频转场,TransitionType,白光快闪,白光快闪,False,49272367,7343136487182963211,400.0
动态视觉效果,视频转场,TransitionType,白色墨花,白色墨花,False,878906,6858191556055142919,500.0
动态视觉效果,视频转场,TransitionType,白色烟雾,白色烟雾,False,947664,6885646856672514567,500.0
动态视觉效果,视频转场,TransitionType,百叶窗,百叶窗,False,521326,6789847331060584974,500.0
动态视觉效果,视频转场,TransitionType,眨眼,眨眼,False,2917719,6864867302936941064,500.0
动态视觉效果,视频转场,TransitionType,矩形分割,矩形分割,False,878905,6858191571196580359,500.0
动态视觉效果,视频转场,TransitionType,窗格,窗格,False,368721,6747989545448378888,500.0
动态视觉效果,视频转场,TransitionType,立方体,立方体,False,519784,6785042367498949127,500.0
动态视觉效果,视频转场,TransitionType,竖向分割,竖向分割,False,4211686,7083771107706147364,500.0
动态视觉效果,视频转场,TransitionType,竖向拉幕,竖向拉幕,False,2917285,6726711903684399619,1000.0
动态视觉效果,视频转场,TransitionType,竖向模糊,竖向模糊,False,3796327,7125661387568714247,800.0
动态视觉效果,视频转场,TransitionType,竖向模糊_II,竖向模糊 II,False,23404229,7280837008421818936,660.0
动态视觉效果,视频转场,TransitionType,竖线,竖线,False,2918077,6724846536041173511,500.0
动态视觉效果,视频转场,TransitionType,箭头向右,箭头向右,False,878904,6858191587554365966,500.0
动态视觉效果,视频转场,TransitionType,粒子,粒子,False,4212632,6855565313715474952,500.0
动态视觉效果,视频转场,TransitionType,翻篇,翻篇,False,4212350,7034446419641504264,1300.0
动态视觉效果,视频转场,TransitionType,翻页,翻页,False,368701,6747979085894390279,500.0
动态视觉效果,视频转场,TransitionType,色差逆时针,色差逆时针,False,1069274,6940500629013926413,1000.0
动态视觉效果,视频转场,TransitionType,色差顺时针,色差顺时针,False,1069374,6940520116035523080,1000.0
动态视觉效果,视频转场,TransitionType,色彩溶解,色彩溶解,False,322583,6724846004274729480,500.0
